key_name,es_ES,comment
 for an express payment of your purchases.,para el pago exprés de sus compras.,
*subject to eligibility,*subject to eligibility,
A partial payment has been made.,Se ha efectuado un pago parcial.,
A problem occurred during the payment initiation with Virement Maitrisé. Please try again or choose another payment method.,"Se ha producido un problema al iniciar el pago con Virement Maitrisé. Por favor, inténtelo de nuevo o elija otro método de pago.",
"A technical error has occurred. Please contact <a href=""%1"" target=""_blank"">the merchant</a> or Virement Maitrisé by email at <a href=""mailto:%2"">%2</a> or via <a href=""%3"" target=""_blank"">chat</a>.","Se ha producido un error técnico. Póngase en contacto con <a href=""%1"" target=""_blank"">el comerciante</a> o Virement Maitrisé por correo electrónico a <a href=""mailto:%2"">%2</a> o a través de <a href=""%3"" target=""_blank"">chat</a>.",
Accepted payment,Pago aceptado,
Advanced settings,Configuración avanzada,
All,Todo,
Allow your professional buyers to buy now and pay later directly from your check-out. An innovative solution made for B2B merchants looking to boost their sales.,Permita a sus compradores profesionales comprar ahora y pagar más tarde directamente desde su caja. Una solución innovadora hecha para comerciantes B2B que buscan impulsar sus ventas.,
Alternative payment methods for 'Login as Customer' feature,"Métodos de pago alternativos para la función ""Iniciar sesión como cliente",
Amount,Importe,
An error has occurred during refund. Please check your account in the Virement Maitrisé console.,Se ha producido un error durante el reembolso. Compruebe su cuenta en la consola de Virement Maitrisé.,
Automatic expiration of pending orders,Vencimiento automático de órdenes pendientes,
Automatic expiration of pending orders after,Expiración automática de órdenes pendientes después de,
Bank type,Tipo de banco,
Buy Now Pay Later,"Comprar ahora, pagar después",
Can't save the private key,No se puede guardar la clave privada,
Checkout design,Diseño de caja,
Choose how to send your payment link,Elija cómo enviar su enlace de pago,
Choose the alternative payment method for 'Login as Customer' feature,"Elija el método de pago alternativo para la función ""Iniciar sesión como cliente"".",
Choose to pay by,Elija pagar por,
Close,Cerrar,
Configure,Configurar,
Confirm your payment securely,Confirma tu pago de forma segura,
Connection failed. Have you correctly saved the private key in the Virement Maitrisé Console?,Error de conexión. ¿Ha guardado correctamente la clave privada en la consola de Virement Maitrisé?,
Connection succeeded,Conexión exitosa,
Continue,Siguiente,
Corporate,Empresa,
Custom field for the reconciliation,Campo personalizado para la conciliación,
Debit ,Débito,
Design options,Opciones de diseño,
Enable alternative payment methods for 'Login as Customer' feature,"Habilitar métodos de pago alternativos para la función ""Iniciar sesión como cliente",
Enable automatic expiration of pending orders,Activar el vencimiento automático de las órdenes pendientes,
Enable change of order status for refunds,Habilitar el cambio de estado del pedido para reembolsos,
Enable custom field for the reconciliation,Habilitar campo personalizado para la conciliación,
Enable invoice generation for paid orders,Activar la generación de facturas para pedidos pagados,
Enabled,Activado,
Environment,Espacio,
"Explore our <a href=""%1"" target=""_blank""> online documentation</a> for step-by-step guidance on configuring this module. Need assistance? Contact our support team at support@virementmaitrise.societegenerale.eu","Explore nuestra <a href=""%1"" target=""_blank""> documentación en línea</a> para obtener instrucciones paso a paso sobre la configuración de este módulo. ¿Necesita ayuda? Póngase en contacto con nuestro equipo de asistencia en support@virementmaitrise.societegenerale.eu",
Failed payment,Pago fallido,
Virement Maitrisé APP ID,APP ID de Virement Maitrisé,
