key_name,fr_FR,comment
 for an express payment of your purchases., pour un paiement express de vos achats.,
*subject to eligibility,*sous réserve d'éligibilité,
A partial payment has been made.,Un paiement partiel a été effectué.,
A problem occurred during the payment initiation with Virement Maitrisé. Please try again or choose another payment method.,Un problème est survenu lors de l'initiation du paiement avec Virement Maitrisé. Veuillez réessayer ou choisir un autre mode de paiement.,
"A technical error has occurred. Please contact <a href=""%1"" target=""_blank"">the merchant</a> or Virement Maitrisé by email at <a href=""mailto:%2"">%2</a> or via <a href=""%3"" target=""_blank"">chat</a>.","Une erreur technique est survenue. Merci de contacter <a href=""%1"" target=""_blank"">le marchand</a> ou Virement Maitrisé par mail à <a href=""mailto:%2"">%2</a> ou par <a href=""%3"" target=""_blank"">chat</a>.",
Accepted payment,Paiement accepté,
Advanced settings,Paramètres avancés,
All,Tous,
Allow your professional buyers to buy now and pay later directly from your check-out. An innovative solution made for B2B merchants looking to boost their sales.,Permettez à vos clients professionnels d'acheter maintenant et de payer plus tard directement depuis votre checkout. Une solution innovante conçue pour les marchands B2B qui cherchent à faire décoller leur chiffre d'affaires et booster leurs ventes.,
Alternative payment methods for 'Login as Customer' feature,"Méthodes de paiement alternatives pour la fonction ""Se connecter en tant que client""",
Amount,Montant,
An error has occurred during refund. Please check your account in the Virement Maitrisé console.,Une erreur s'est produite lors du remboursement. Veuillez vérifier votre compte dans la console Virement Maitrisé.,
Automatic expiration of pending orders,Expiration automatique des commandes en cours,
Automatic expiration of pending orders after,Expiration automatique des commandes en attente après,
Bank type,Type de banque,
Buy Now Pay Later,Buy Now Pay Later,
Can't save the private key,Impossible d'enregistrer la clé privée,
Checkout design,Affichage sur la page de paiement,
Choose how to send your payment link,Choisissez comment envoyer votre lien de paiement,
Choose the alternative payment method for 'Login as Customer' feature,"Choisissez la méthode de paiement alternative pour la fonction ""Se connecter en tant que client"".",
Choose to pay by,Choisissez de payer par,
Close,Fermer,
Configure,Configurer,
Confirm your payment securely,Confirmez votre paiement en toute sécurité,
Connection failed. Have you correctly saved the private key in the Virement Maitrisé Console?,La connexion a échoué. Avez-vous correctement sauvegardé la clé privée dans la console Virement Maitrisé ?,
Connection succeeded,Connexion réussie,
Continue,Continuer,
Corporate,Entreprise,
Custom field for the reconciliation,Champ personnalisé pour le rapprochement,
Debit ,Prélèvement,
Design options,Options d'affichage,
Enable alternative payment methods for 'Login as Customer' feature,"Activer d'autres méthodes de paiement pour la fonction ""Se connecter en tant que client""",
Enable automatic expiration of pending orders,Activer l'expiration automatique des commandes en attente,
Enable change of order status for refunds,Permettre la modification de l'état de la commande pour les remboursements,
Enable custom field for the reconciliation,Activer le champ personnalisé pour le rapprochement,
Enable invoice generation for paid orders,Activer la génération de factures pour les commandes payées,
Enabled,Activé,
Environment,Environnement,
